0.116	2.87037E-05	0.140	0.471
0.190	9.05546E-05	0.142	0.339
0.265	2.68751E-05	0.441	0.489
0.135	5.72475E-05	0.200	0.546
0.154	0.079846058	0.240	0.396
0.172	7.09975E-05	0.440	0.582
0.154	0.008932514	0.018	0.346
0.132	2.43999E-05	0.156	0.393
0.187	0.000124582	0.316	0.368
0.151	9.69173E-05	0.214	0.456
0.142	0.023698848	0.186	0.421
0.262	3.12314E-05	0.088	0.230
0.190	0.009923045	0.104	0.109
0.179	0.077477395	0.257	0.548
0.223	0.032307905	0.178	0.579
0.194	2.99745E-05	0.302	0.372
0.168	3.15978E-05	0.090	0.405
0.148	3.29989E-05	0.030	0.222
0.177	0.013096516	0.166	0.364
0.179	0.118051088	0.222	0.437
0.197	0.050123633	0.299	0.353
0.238	2.52815E-05	0.184	0.196
0.118	6.29426E-05	0.176	0.599
0.131	6.46996E-05	0.136	0.350
0.195	0.018491715	0.227	0.386
0.124	5.34764E-05	0.203	0.497
0.213	2.54542E-05	0.186	0.348
0.163	0.045597397	0.207	0.415
0.209	6.57957E-05	0.155	0.342
0.152	3.02794E-05	0.196	0.463
0.123	0.014713949	0.354	0.478
0.220	4.39212E-05	0.314	0.495
0.106	6.44255E-05	0.170	0.386
0.119	0.032875626	0.180	0.559
0.133	0.00012648	0.128	0.271
0.175	0.029128079	0.164	0.429
0.224	2.47976E-05	0.367	0.514
0.199	7.77844E-05	0.278	0.396
0.188	5.3958E-05	0.307	0.560
0.143	0.008083485	0.129	0.285
0.222	5.379E-05	0.229	0.439
0.138	0.004316868	0.238	0.301
0.171	9.56089E-05	0.321	0.355
0.128	3.15732E-05	0.130	0.265
0.187	8.05303E-05	0.214	0.405
0.168	2.54226E-05	0.293	0.412
0.155	9.56131E-06	0.102	0.185
0.163	0.015329348	0.114	0.511
0.168	0.012729576	0.295	0.514
0.148	1.57918E-05	0.172	0.182
0.250	7.98055E-05	0.193	0.241
0.216	9.47447E-06	0.056	0.060
0.218	0.008094319	0.331	0.558
0.140	0.017436739	0.127	0.353
0.250	0.011071989	0.279	0.343
0.235	2.11023E-05	0.159	0.310
0.170	0.004743928	0.133	0.136
0.177	0.015837637	0.202	0.351
0.168	0.122913159	0.209	0.512
0.227	2.08342E-05	0.160	0.190
0.254	4.28644E-05	0.045	0.046
0.251	5.47895E-05	0.111	0.118
0.203	0.014265763	0.287	0.402
0.214	8.41596E-05	0.226	0.346
0.134	0.082545659	0.276	0.372
0.188	3.00224E-05	0.130	0.447
0.169	9.48015E-05	0.209	0.376
0.194	8.67859E-05	0.266	0.478
0.192	7.02364E-05	0.279	0.521
0.200	0.015641085	0.175	0.521
0.164	0.145632234	0.236	0.473
0.147	0.00875	0.050	0.280
0.163	0.04008303	0.228	0.569
0.222	7.81966E-05	0.357	0.564
0.172	0.015403505	0.091	0.091
0.202	0.107446869	0.254	0.441
0.201	0.044509698	0.107	0.422
0.161	3.25668E-05	0.252	0.543
0.191	0.007053224	0.102	0.246
0.187	0.006962995	0.186	0.196
0.163	9.5078E-05	0.127	0.306
0.190	6.82028E-05	0.191	0.205
0.204	2.72037E-05	0.303	0.593
0.298	0.005304875	0.188	0.330
0.202	1.63683E-05	0.221	0.307
0.141	0.004407854	0.069	0.227
0.210	2.63686E-05	0.220	0.356
0.332	0.005079875	0.390	0.472
0.185	8.67268E-05	0.216	0.380
0.171	1.26034E-05	0.121	0.249
0.172	5.73028E-05	0.149	0.151
0.221	0.004940204	0.150	0.160
0.221	6.06998E-05	0.299	0.519
0.117	0.0529482	0.313	0.613
0.237	1.90157E-05	0.324	0.358
0.191	5.64953E-05	0.164	0.355
0.225	2.04347E-05	0.145	0.398
0.215	0.06710855	0.250	0.520
0.168	0.086193771	0.410	0.562
0.159	1.8971E-05	0.166	0.268